ID	freq	lemma	PoS
1	1684573	de	p
11	196283	não	r
21	71356	este	j
31	52269	dizer	v
41	35116	ver	v
51	29169	vez	n
61	25979	primeiro	j
71	22228	coisa	n
81	17820	segundo	j
91	16107	qual	p
101	14590	trabalho	n
111	13461	gente	n
121	12137	se	c
131	11207	contra	p
141	10833	exemplo	j
151	10418	isto	p
161	10046	pai	n
171	9684	velho	j
181	9286	região	n
191	8916	mês	n
201	8382	força	n
211	8120	guerra	n
221	7883	família	n
231	7382	quanto	j
241	7122	afirmar	v
251	6978	partido	n
261	6830	embora	c
271	6696	diferente	j
281	6497	lembrar	v
291	6281	questão	n
301	6101	verdade	n
311	5885	jogo	n
321	5776	correr	v
331	5584	mal	r
341	5413	entender	v
351	5270	nível	n
361	5151	tirar	v
371	5051	população	n
381	4889	natural	j
391	4770	entanto	r
401	4678	descobrir	v
411	4524	braço	n
421	4398	futuro	n
431	4350	deputado	n
441	4231	república	n
451	4175	filha	n
461	4115	título	n
471	4062	inglés	n
481	3951	teatro	n
491	3896	director	n
501	3799	material	n
511	3723	perceber	v
521	3641	membro	n
531	3602	menor	j
541	3524	candidato	n
551	3464	indústria	n
561	3423	sentar	v
571	3378	pena	n
581	3343	justiça	n
591	3305	ambos	j
601	3276	alguém	p
611	3256	unidade	n
621	3212	atrás	r
631	3167	dado	n
641	3107	cinema	n
651	3068	árvore	n
661	3031	rosto	n
671	2991	tribunal	n
681	2958	escolher	v
691	2908	jogador	n
701	2884	via	p
711	2844	meter	v
721	2801	pensamento	n
731	2758	luta	n
741	2714	quadro	n
751	2675	festa	n
761	2647	poeta	n
771	2608	dona	n
781	2565	retirar	v
791	2532	aproximar	v
801	2492	afastar	v
811	2466	madeira	n
821	2432	acrescentar	v
831	2405	estilo	n
841	2380	instituto	n
851	2340	café	n
861	2309	exposição	n
871	2280	quantidade	n
881	2255	memória	n
891	2240	crise	n
901	2221	investigação	n
911	2190	regional	j
921	2164	volume	n
931	2151	aprender	v
941	2125	peixe	n
951	2100	banda	n
961	2077	aliás	r
971	2059	irmã	n
981	2044	temperatura	n
991	2026	representante	n
1001	1996	bilhão	n
1011	1985	revista	n
1021	1955	identificar	v
1031	1947	tom	n
1041	1933	militar	j
1051	1915	guardar	v
1061	1904	baixar	v
1071	1882	instante	n
1081	1873	esquerda	n
1091	1862	seguro	n
1101	1844	empresário	n
1111	1822	importar	v
1121	1808	conflito	n
1131	1788	juro	n
1141	1777	literário	j
1151	1760	aldeia	n
1161	1746	citar	v
1171	1723	recordar	v
1181	1706	fino	j
1191	1689	dominar	v
1201	1676	atender	v
1211	1660	missão	n
1221	1652	tarefa	n
1231	1639	vantagem	n
1241	1631	éh	i
1251	1614	adiantar	v
1261	1607	proteger	v
1271	1594	controlar	v
1281	1588	pertencente	n
1291	1578	sequer	r
1301	1558	consumo	n
1311	1546	escolha	n
1321	1539	privado	n
1331	1523	respectivo	j
1341	1515	grito	n
1351	1503	expresso	j
1361	1491	componente	n
1371	1471	composto	n
1381	1461	ocasião	n
1391	1453	deter	v
1401	1439	atacar	v
1411	1430	rural	j
1421	1410	fiscal	j
1431	1401	mandato	n
1441	1382	lágrima	n
1451	1370	navio	n
1461	1359	autarquia	n
1471	1346	verão	n
1481	1335	capítulo	n
1491	1323	surpresa	n
1501	1315	democrático	j
1511	1303	registar	v
1521	1289	vazio	n
1531	1277	diabo	n
1541	1260	conferência	n
1551	1251	metal	n
1561	1236	sensação	n
1571	1228	exame	n
1581	1218	oh	i
1591	1202	voar	v
1601	1191	lábio	n
1611	1181	junta	n
1621	1172	provar	v
1631	1166	ferir	v
1641	1161	mensagem	n
1651	1148	culpa	n
1661	1143	engenheiro	n
1671	1137	essencial	j
1681	1128	inicialmente	r
1691	1122	percorrer	v
1701	1114	estimar	v
1711	1104	funcionamento	n
1721	1095	feito	n
1731	1089	rocha	n
